,P2
3BT+8TT+Stannyl+Phenyl,0.0
4BT+5TT+Methyl+Phenyl,0.005049294833918319
3BT+8TT+Stannyl+Br,0.0
4BT+5TT+Br+Methyl,0.0029407727959114478
4BT+4TT+Stannyl+Phenyl,0.0
5BT+1TT+Methyl+Phenyl,0.0
4BT+4TT+Stannyl+Br,0.0
5BT+1TT+Br+Methyl,0.0
5BT+0TT+Stannyl+Phenyl,0.0
5BT+0TT+Stannyl+Br,0.0013882678602676981
4BT+6TT+2H,0.004839787374290358
5BT+2TT+2H,0.0018420945686265797
4BT+6TT+H+Methyl,0.007018032795222948
4BT+5TT+2Phenyl,0.0
4BT+5TT+Br+Phenyl,0.0
4BT+5TT+2Br,-0.0
4BT+5TT+Stannyl+H,0.0
5BT+2TT+H+Methyl,0.004503404806981855
5BT+1TT+2Phenyl,0.0
5BT+1TT+Br+Phenyl,4.4491730271939604e-05
5BT+1TT+2Br,0.0
5BT+1TT+Stannyl+H,0.0
4BT+6TT+2Methyl,0.0020176363149424846
4BT+5TT+Stannyl+Methyl,0.0
5BT+2TT+2Methyl,0.0020078595797205297
3BT+8TT+2Stannyl,0.0003561588542920532
5BT+1TT+Stannyl+Methyl,-0.0
4BT+4TT+2Stannyl,0.0014274436792883695
5BT+0TT+2Stannyl,0.0
4BT+6TT+H+Phenyl,0.0020226976090898232
4BT+6TT+Br+H,0.0013673046166371835
5BT+2TT+H+Phenyl,0.00028676217597378684
5BT+2TT+Br+H,0.001552910785546855
4BT+6TT+Methyl+Phenyl,0.001296772255276204
4BT+6TT+Br+Methyl,0.00010238224206106725
4BT+5TT+Stannyl+Phenyl,0.0
5BT+2TT+Methyl+Phenyl,0.0004812004155054625
4BT+5TT+Stannyl+Br,0.0
5BT+2TT+Br+Methyl,0.0013828353332364565
5BT+1TT+Stannyl+Phenyl,0.0
5BT+1TT+Stannyl+Br,0.00025156221627004483
4BT+7TT+2H,0.0015768897677553011
5BT+3TT+2H,0.011777857873847213
4BT+7TT+H+Methyl,0.002377279089153117
4BT+6TT+2Phenyl,0.0
4BT+6TT+Br+Phenyl,0.0
4BT+6TT+2Br,0.0
4BT+6TT+Stannyl+H,3.938268403343782e-05
5BT+3TT+H+Methyl,0.02313265560841374
5BT+2TT+2Phenyl,0.0
5BT+2TT+Br+Phenyl,0.0006612187659076083
5BT+2TT+2Br,3.05229257303059e-05
5BT+2TT+Stannyl+H,0.0
4BT+7TT+2Methyl,3.991314107373083e-05
4BT+6TT+Stannyl+Methyl,0.0
5BT+3TT+2Methyl,0.012221100649615468
5BT+2TT+Stannyl+Methyl,0.0
4BT+5TT+2Stannyl,0.0028811488590414474
5BT+1TT+2Stannyl,0.001678264123373011
4BT+7TT+H+Phenyl,0.0004702714493649389
4BT+7TT+Br+H,0.0
5BT+3TT+H+Phenyl,0.005591081326214387
5BT+3TT+Br+H,0.007275494090688589
4BT+7TT+Methyl+Phenyl,0.0
4BT+7TT+Br+Methyl,0.0
4BT+6TT+Stannyl+Phenyl,0.0
5BT+3TT+Methyl+Phenyl,0.0051486122490668204
4BT+6TT+Stannyl+Br,0.0
5BT+3TT+Br+Methyl,0.007593052986539831
5BT+2TT+Stannyl+Phenyl,0.0
5BT+2TT+Stannyl+Br,0.0
4BT+8TT+2H,-0.0
5BT+4TT+2H,0.02636498272223944
4BT+8TT+H+Methyl,-0.0
4BT+7TT+2Phenyl,0.0
4BT+7TT+Br+Phenyl,0.0
4BT+7TT+2Br,-0.0
4BT+7TT+Stannyl+H,-0.0
5BT+4TT+H+Methyl,0.0487921167636436
5BT+3TT+2Phenyl,0.0
5BT+3TT+Br+Phenyl,0.0011302387218904654
5BT+3TT+2Br,0.0019416318359864464
5BT+3TT+Stannyl+H,0.0
4BT+8TT+2Methyl,0.0
4BT+7TT+Stannyl+Methyl,0.00025493618744770687
5BT+4TT+2Methyl,0.024675513173763552
5BT+3TT+Stannyl+Methyl,0.000461414754406706
4BT+6TT+2Stannyl,0.006414465343523375
5BT+2TT+2Stannyl,0.005069336136243313
4BT+8TT+H+Phenyl,0.0004610387787811232
4BT+8TT+Br+H,0.0
5BT+4TT+H+Phenyl,0.01176907628361056
5BT+4TT+Br+H,0.014191728011355762
4BT+8TT+Methyl+Phenyl,-0.0
4BT+8TT+Br+Methyl,-0.0
4BT+7TT+Stannyl+Phenyl,-0.0
5BT+4TT+Methyl+Phenyl,0.011205548541908585
4BT+7TT+Stannyl+Br,0.0
5BT+4TT+Br+Methyl,0.014012005257725257
5BT+3TT+Stannyl+Phenyl,0.0
5BT+3TT+Stannyl+Br,0.0005699672636543539
4BT+9TT+2H,0.002007008490180433
5BT+5TT+2H,0.02475137846552904
6BT+1TT+2H,0.0
4BT+9TT+H+Methyl,0.0005452045085644583
4BT+8TT+2Phenyl,0.0
4BT+8TT+Br+Phenyl,0.0
4BT+8TT+2Br,-0.0
4BT+8TT+Stannyl+H,-0.0
5BT+5TT+H+Methyl,0.039576697736587674
5BT+4TT+2Phenyl,0.0
5BT+4TT+Br+Phenyl,0.0031111580449659664
5BT+4TT+2Br,0.002156326319222709
5BT+4TT+Stannyl+H,0.0
6BT+1TT+H+Methyl,0.0
4BT+9TT+2Methyl,0.0
4BT+8TT+Stannyl+Methyl,0.0
5BT+5TT+2Methyl,0.01739055049244763
5BT+4TT+Stannyl+Methyl,0.00010653812374873915
6BT+1TT+2Methyl,0.0006530898692695243
4BT+7TT+2Stannyl,0.0048970601670385175
5BT+3TT+2Stannyl,0.00432965111531205
4BT+9TT+H+Phenyl,-0.0
4BT+9TT+Br+H,0.0
5BT+5TT+H+Phenyl,0.010990926305748832
5BT+5TT+Br+H,0.009554296630024994
6BT+1TT+H+Phenyl,-0.0
6BT+1TT+Br+H,0.0
4BT+9TT+Methyl+Phenyl,0.0
4BT+9TT+Br+Methyl,0.0
4BT+8TT+Stannyl+Phenyl,0.0
5BT+5TT+Methyl+Phenyl,0.009369748819920911
4BT+8TT+Stannyl+Br,0.0
5BT+5TT+Br+Methyl,0.008198471909460927
5BT+4TT+Stannyl+Phenyl,0.0
6BT+1TT+Methyl+Phenyl,-0.0
5BT+4TT+Stannyl+Br,0.0
6BT+1TT+Br+Methyl,0.0
5BT+6TT+2H,0.013799693936215239
6BT+2TT+2H,0.0
4BT+9TT+2Phenyl,0.0
4BT+9TT+Br+Phenyl,0.0
4BT+9TT+2Br,-0.0
4BT+9TT+Stannyl+H,-0.0
5BT+6TT+H+Methyl,0.019992948501868273
5BT+5TT+2Phenyl,0.0
5BT+5TT+Br+Phenyl,0.0029005280738326664
5BT+5TT+2Br,0.0006045024067896392
5BT+5TT+Stannyl+H,0.0
6BT+2TT+H+Methyl,0.0
