,P3 7p
3BT+8TT+Stannyl+Phenyl,0.0
4BT+5TT+Methyl+Phenyl,0.010302580395843296
3BT+8TT+Stannyl+Br,0.0
4BT+5TT+Br+Methyl,0.0
4BT+4TT+Stannyl+Phenyl,0.0
5BT+1TT+Methyl+Phenyl,0.0
4BT+4TT+Stannyl+Br,-0.0
5BT+1TT+Br+Methyl,0.0
5BT+0TT+Stannyl+Phenyl,0.0
5BT+0TT+Stannyl+Br,0.0
4BT+6TT+2H,0.0093863134330608
5BT+2TT+2H,0.0
4BT+6TT+H+Methyl,0.034175187598836095
4BT+5TT+2Phenyl,0.0
4BT+5TT+Br+Phenyl,0.0
4BT+5TT+2Br,0.0
4BT+5TT+Stannyl+H,0.0
5BT+2TT+H+Methyl,0.0
5BT+1TT+2Phenyl,0.0
5BT+1TT+Br+Phenyl,0.0
5BT+1TT+2Br,-0.0
5BT+1TT+Stannyl+H,-0.0
4BT+6TT+2Methyl,0.028752585058707366
4BT+5TT+Stannyl+Methyl,0.0
5BT+2TT+2Methyl,0.001024403161434735
3BT+8TT+2Stannyl,0.003841696231516846
5BT+1TT+Stannyl+Methyl,-0.0
4BT+4TT+2Stannyl,0.0014127523372225099
5BT+0TT+2Stannyl,0.0
4BT+6TT+H+Phenyl,0.004963896311384403
4BT+6TT+Br+H,0.0
5BT+2TT+H+Phenyl,0.0
5BT+2TT+Br+H,0.0
4BT+6TT+Methyl+Phenyl,0.008354275607281702
4BT+6TT+Br+Methyl,-0.0
4BT+5TT+Stannyl+Phenyl,0.0
5BT+2TT+Methyl+Phenyl,-0.0
4BT+5TT+Stannyl+Br,-0.0
5BT+2TT+Br+Methyl,0.0
5BT+1TT+Stannyl+Phenyl,0.0
5BT+1TT+Stannyl+Br,0.0
4BT+7TT+2H,0.007429482570328684
5BT+3TT+2H,-0.0
4BT+7TT+H+Methyl,0.019257472752005792
4BT+6TT+2Phenyl,0.0
4BT+6TT+Br+Phenyl,0.0
4BT+6TT+2Br,0.0
4BT+6TT+Stannyl+H,0.0
5BT+3TT+H+Methyl,0.0
5BT+2TT+2Phenyl,0.0
5BT+2TT+Br+Phenyl,0.005866550092054405
5BT+2TT+2Br,0.0
5BT+2TT+Stannyl+H,0.0
4BT+7TT+2Methyl,0.017558690988904377
4BT+6TT+Stannyl+Methyl,0.0002313431634513883
5BT+3TT+2Methyl,0.007375758878705582
5BT+2TT+Stannyl+Methyl,0.0009890249387021852
4BT+5TT+2Stannyl,0.0011742232715858142
5BT+1TT+2Stannyl,0.0010217795203057752
4BT+7TT+H+Phenyl,0.0017595910000386117
4BT+7TT+Br+H,0.0
5BT+3TT+H+Phenyl,-0.0
5BT+3TT+Br+H,0.0004232313074622616
4BT+7TT+Methyl+Phenyl,0.0045093828066425
4BT+7TT+Br+Methyl,0.0
4BT+6TT+Stannyl+Phenyl,0.0
5BT+3TT+Methyl+Phenyl,0.0015965490570282964
4BT+6TT+Stannyl+Br,0.0
5BT+3TT+Br+Methyl,0.0
5BT+2TT+Stannyl+Phenyl,0.0
5BT+2TT+Stannyl+Br,0.0
4BT+8TT+2H,0.002331805458733475
5BT+4TT+2H,0.01584599309110338
4BT+8TT+H+Methyl,-0.0
4BT+7TT+2Phenyl,0.0
4BT+7TT+Br+Phenyl,0.0
4BT+7TT+2Br,0.0
4BT+7TT+Stannyl+H,0.0
5BT+4TT+H+Methyl,0.03516900875460382
5BT+3TT+2Phenyl,0.0
5BT+3TT+Br+Phenyl,0.0
5BT+3TT+2Br,0.0
5BT+3TT+Stannyl+H,0.0
4BT+8TT+2Methyl,0.01079705530489958
4BT+7TT+Stannyl+Methyl,2.0839678606725146e-05
5BT+4TT+2Methyl,0.019870054128714676
5BT+3TT+Stannyl+Methyl,0.0002029368529558234
4BT+6TT+2Stannyl,0.0040661211068667175
5BT+2TT+2Stannyl,0.0018397736090948395
4BT+8TT+H+Phenyl,-0.0
4BT+8TT+Br+H,0.0
5BT+4TT+H+Phenyl,0.004371180207437622
5BT+4TT+Br+H,0.0
4BT+8TT+Methyl+Phenyl,0.001974607918491162
4BT+8TT+Br+Methyl,0.0
4BT+7TT+Stannyl+Phenyl,0.0
5BT+4TT+Methyl+Phenyl,0.004494483219896148
4BT+7TT+Stannyl+Br,0.0
5BT+4TT+Br+Methyl,0.0
5BT+3TT+Stannyl+Phenyl,0.0
5BT+3TT+Stannyl+Br,-0.0
4BT+9TT+2H,-0.0
5BT+5TT+2H,0.018401799615092054
6BT+1TT+2H,-0.0
4BT+9TT+H+Methyl,0.0
4BT+8TT+2Phenyl,0.0
4BT+8TT+Br+Phenyl,0.0
4BT+8TT+2Br,0.0
4BT+8TT+Stannyl+H,0.0004674292252350843
5BT+5TT+H+Methyl,0.044435834395352994
5BT+4TT+2Phenyl,0.0
5BT+4TT+Br+Phenyl,0.0
5BT+4TT+2Br,-0.0
5BT+4TT+Stannyl+H,0.0
6BT+1TT+H+Methyl,0.0
4BT+9TT+2Methyl,0.0021563088064953063
4BT+8TT+Stannyl+Methyl,0.0
5BT+5TT+2Methyl,0.029895647639254792
5BT+4TT+Stannyl+Methyl,0.000325310833180076
6BT+1TT+2Methyl,0.00024427283695103373
4BT+7TT+2Stannyl,0.003560227762540721
5BT+3TT+2Stannyl,0.0024363068850144737
4BT+9TT+H+Phenyl,-0.0
4BT+9TT+Br+H,-0.0
5BT+5TT+H+Phenyl,0.006020066799489949
5BT+5TT+Br+H,0.0
6BT+1TT+H+Phenyl,0.0
6BT+1TT+Br+H,0.00011713046832904231
4BT+9TT+Methyl+Phenyl,3.600479998052052e-05
4BT+9TT+Br+Methyl,0.0
4BT+8TT+Stannyl+Phenyl,0.0
5BT+5TT+Methyl+Phenyl,0.007190308611470446
4BT+8TT+Stannyl+Br,0.0
5BT+5TT+Br+Methyl,0.0
5BT+4TT+Stannyl+Phenyl,0.0
6BT+1TT+Methyl+Phenyl,0.0
5BT+4TT+Stannyl+Br,0.0
6BT+1TT+Br+Methyl,0.0
5BT+6TT+2H,0.01637151649901022
6BT+2TT+2H,0.0
4BT+9TT+2Phenyl,0.0
4BT+9TT+Br+Phenyl,0.0
4BT+9TT+2Br,-0.0
4BT+9TT+Stannyl+H,-0.0
5BT+6TT+H+Methyl,0.04026356538232847
5BT+5TT+2Phenyl,0.0
5BT+5TT+Br+Phenyl,0.005609650452258157
5BT+5TT+2Br,0.0
5BT+5TT+Stannyl+H,0.0
6BT+2TT+H+Methyl,-0.0
6BT+1TT+2Phenyl,0.0
6BT+1TT+Br+Phenyl,0.0
6BT+1TT+2Br,0.0
6BT+1TT+Stannyl+H,0.0
4BT+9TT+Stannyl+Methyl,0.0
5BT+6TT+2Methyl,0.031232435302126466
5BT+5TT+Stannyl+Methyl,0.0002109376740628915
6BT+2TT+2Methyl,0.000376384542008328
4BT+8TT+2Stannyl,0.00015772462642095266
6BT+1TT+Stannyl+Methyl,0.002741646002664478
5BT+4TT+2Stannyl,0.002982323338341507
5BT+6TT+H+Phenyl,0.005563843815164264
5BT+6TT+Br+H,0.0
6BT+2TT+H+Phenyl,0.0
6BT+2TT+Br+H,0.0
4BT+9TT+Stannyl+Phenyl,0.0
5BT+6TT+Methyl+Phenyl,0.007526507236354126
4BT+9TT+Stannyl+Br,0.0
5BT+6TT+Br+Methyl,0.0
5BT+5TT+Stannyl+Phenyl,0.0
6BT+2TT+Methyl+Phenyl,0.0
5BT+5TT+Stannyl+Br,0.0
6BT+2TT+Br+Methyl,0.0
6BT+1TT+Stannyl+Phenyl,0.0
6BT+1TT+Stannyl+Br,0.0
5BT+7TT+2H,0.009290535947680097
6BT+3TT+2H,0.0
5BT+7TT+H+Methyl,0.031214224132470235
5BT+6TT+2Phenyl,0.0
5BT+6TT+Br+Phenyl,0.0
5BT+6TT+2Br,0.0
5BT+6TT+Stannyl+H,0.0
6BT+3TT+H+Methyl,0.0
6BT+2TT+2Phenyl,0.0
6BT+2TT+Br+Phenyl,0.0
6BT+2TT+2Br,0.0
6BT+2TT+Stannyl+H,0.0
5BT+7TT+2Methyl,0.024194095009609288
5BT+6TT+Stannyl+Methyl,-0.0
6BT+3TT+2Methyl,0.0009135986161546155
4BT+9TT+2Stannyl,0.0034316574840629875
6BT+2TT+Stannyl+Methyl,-0.0
5BT+5TT+2Stannyl,0.001477493506027347
6BT+1TT+2Stannyl,0.0
5BT+7TT+H+Phenyl,0.004021969443158162
5BT+7TT+Br+H,0.0
6BT+3TT+H+Phenyl,0.0
6BT+3TT+Br+H,0.0
5BT+7TT+Methyl+Phenyl,0.006310829230278907
5BT+7TT+Br+Methyl,0.0
5BT+6TT+Stannyl+Phenyl,0.0
6BT+3TT+Methyl+Phenyl,0.0
5BT+6TT+Stannyl+Br,0.0
6BT+3TT+Br+Methyl,0.0
6BT+2TT+Stannyl+Phenyl,0.0
6BT+2TT+Stannyl+Br,0.0
