,P1
3BT+8TT+Stannyl+Phenyl,0.00419181684872961
4BT+5TT+Methyl+Phenyl,0.0011172775160093159
3BT+8TT+Stannyl+Br,0.0
4BT+5TT+Br+Methyl,-0.0
4BT+4TT+Stannyl+Phenyl,0.0
5BT+1TT+Methyl+Phenyl,0.004748593685689381
4BT+4TT+Stannyl+Br,0.0
5BT+1TT+Br+Methyl,0.0
5BT+0TT+Stannyl+Phenyl,0.0
5BT+0TT+Stannyl+Br,0.00037318070392596
4BT+6TT+2H,0.004247541428882393
5BT+2TT+2H,0.008187569604605599
4BT+6TT+H+Methyl,-0.0
4BT+5TT+2Phenyl,0.0016869399890008497
4BT+5TT+Br+Phenyl,0.0
4BT+5TT+2Br,-0.0
4BT+5TT+Stannyl+H,0.0
5BT+2TT+H+Methyl,0.005284601428278785
5BT+1TT+2Phenyl,0.0
5BT+1TT+Br+Phenyl,0.0009200541347629241
5BT+1TT+2Br,0.0035059891753866836
5BT+1TT+Stannyl+H,0.0
4BT+6TT+2Methyl,0.0
4BT+5TT+Stannyl+Methyl,0.0
5BT+2TT+2Methyl,0.0
3BT+8TT+2Stannyl,0.0
5BT+1TT+Stannyl+Methyl,0.0
4BT+4TT+2Stannyl,-0.0
5BT+0TT+2Stannyl,0.0005974648053198778
4BT+6TT+H+Phenyl,0.0
4BT+6TT+Br+H,-0.0
5BT+2TT+H+Phenyl,0.00697299237299192
5BT+2TT+Br+H,0.00396881480020045
4BT+6TT+Methyl+Phenyl,0.0
4BT+6TT+Br+Methyl,-0.0
4BT+5TT+Stannyl+Phenyl,0.0
5BT+2TT+Methyl+Phenyl,0.0011246482149615549
4BT+5TT+Stannyl+Br,0.0
5BT+2TT+Br+Methyl,0.000628915447473541
5BT+1TT+Stannyl+Phenyl,0.0
5BT+1TT+Stannyl+Br,0.0
4BT+7TT+2H,0.000646979695028255
5BT+3TT+2H,0.005575468422578388
4BT+7TT+H+Methyl,0.0
4BT+6TT+2Phenyl,0.0
4BT+6TT+Br+Phenyl,-0.0
4BT+6TT+2Br,0.0
4BT+6TT+Stannyl+H,0.0
5BT+3TT+H+Methyl,-0.0
5BT+2TT+2Phenyl,0.003594887912462888
5BT+2TT+Br+Phenyl,0.0
5BT+2TT+2Br,0.0
5BT+2TT+Stannyl+H,0.0
4BT+7TT+2Methyl,0.0
4BT+6TT+Stannyl+Methyl,0.0
5BT+3TT+2Methyl,0.0
5BT+2TT+Stannyl+Methyl,0.0
4BT+5TT+2Stannyl,0.0
5BT+1TT+2Stannyl,0.0
4BT+7TT+H+Phenyl,-0.0
4BT+7TT+Br+H,0.0
5BT+3TT+H+Phenyl,0.0
5BT+3TT+Br+H,0.00921150339108955
4BT+7TT+Methyl+Phenyl,0.0
4BT+7TT+Br+Methyl,0.0
4BT+6TT+Stannyl+Phenyl,0.0
5BT+3TT+Methyl+Phenyl,-0.0
4BT+6TT+Stannyl+Br,0.0
5BT+3TT+Br+Methyl,0.0024360539297601895
5BT+2TT+Stannyl+Phenyl,0.0
5BT+2TT+Stannyl+Br,0.0
4BT+8TT+2H,-0.0
5BT+4TT+2H,0.054807306306256465
4BT+8TT+H+Methyl,0.0
4BT+7TT+2Phenyl,0.0
4BT+7TT+Br+Phenyl,0.0
4BT+7TT+2Br,0.00906815309863731
4BT+7TT+Stannyl+H,-0.0
5BT+4TT+H+Methyl,0.0
5BT+3TT+2Phenyl,0.03240778044922873
5BT+3TT+Br+Phenyl,0.0015477828985297228
5BT+3TT+2Br,0.0012803764781991831
5BT+3TT+Stannyl+H,0.0
4BT+8TT+2Methyl,0.0
4BT+7TT+Stannyl+Methyl,0.0
5BT+4TT+2Methyl,0.007032587479007932
5BT+3TT+Stannyl+Methyl,0.0
4BT+6TT+2Stannyl,0.0013739451807473861
5BT+2TT+2Stannyl,0.00030675139604384715
4BT+8TT+H+Phenyl,0.0
4BT+8TT+Br+H,0.0
5BT+4TT+H+Phenyl,0.00022501628690169904
5BT+4TT+Br+H,0.09720353173564482
4BT+8TT+Methyl+Phenyl,0.0
4BT+8TT+Br+Methyl,0.0
4BT+7TT+Stannyl+Phenyl,0.0
5BT+4TT+Methyl+Phenyl,0.0
4BT+7TT+Stannyl+Br,0.0
5BT+4TT+Br+Methyl,0.03702218789252793
5BT+3TT+Stannyl+Phenyl,0.0
5BT+3TT+Stannyl+Br,0.0
4BT+9TT+2H,-0.0
5BT+5TT+2H,0.03988650185489253
6BT+1TT+2H,0.0
4BT+9TT+H+Methyl,0.0
