,P3_7p
3BT+8TT+Stannyl+Phenyl,0.0
4BT+5TT+Methyl+Phenyl,0.010514515825506061
3BT+8TT+Stannyl+Br,0.0
4BT+5TT+Br+Methyl,2.2823626503114163e-05
4BT+4TT+Stannyl+Phenyl,0.0
5BT+1TT+Methyl+Phenyl,-0.0
4BT+4TT+Stannyl+Br,0.0002222636845704287
5BT+1TT+Br+Methyl,0.0
5BT+0TT+Stannyl+Phenyl,-0.0
5BT+0TT+Stannyl+Br,0.0008369741691382979
4BT+6TT+2H,0.010278502125432614
5BT+2TT+2H,0.0
4BT+6TT+H+Methyl,-0.0
4BT+5TT+2Phenyl,0.03140229152507892
4BT+5TT+Br+Phenyl,0.0
4BT+5TT+2Br,0.0
4BT+5TT+Stannyl+H,0.0
5BT+2TT+H+Methyl,0.0
5BT+1TT+2Phenyl,0.0
5BT+1TT+Br+Phenyl,0.0
5BT+1TT+2Br,0.0
5BT+1TT+Stannyl+H,-0.0
4BT+6TT+2Methyl,0.027695917202592176
4BT+5TT+Stannyl+Methyl,0.0009175154308925366
5BT+2TT+2Methyl,0.001379933668587164
3BT+8TT+2Stannyl,0.00033334160115925873
5BT+1TT+Stannyl+Methyl,0.0018353036790181702
4BT+4TT+2Stannyl,0.0009656607951324108
5BT+0TT+2Stannyl,0.0
4BT+6TT+H+Phenyl,0.005106134643907341
4BT+6TT+Br+H,0.0
5BT+2TT+H+Phenyl,0.0
5BT+2TT+Br+H,0.0
4BT+6TT+Methyl+Phenyl,0.007891690770823846
4BT+6TT+Br+Methyl,0.0003528014814155814
4BT+5TT+Stannyl+Phenyl,0.0
5BT+2TT+Methyl+Phenyl,2.187288737415193e-05
4BT+5TT+Stannyl+Br,0.0
5BT+2TT+Br+Methyl,0.0
5BT+1TT+Stannyl+Phenyl,0.0
5BT+1TT+Stannyl+Br,0.000556698178972802
4BT+7TT+2H,-0.0
5BT+3TT+2H,-0.0
4BT+7TT+H+Methyl,-0.0
4BT+6TT+2Phenyl,0.018021212356269495
4BT+6TT+Br+Phenyl,0.0
4BT+6TT+2Br,0.0
4BT+6TT+Stannyl+H,0.0
5BT+3TT+H+Methyl,0.0
5BT+2TT+2Phenyl,0.0
5BT+2TT+Br+Phenyl,0.006634410692640183
5BT+2TT+2Br,0.0
5BT+2TT+Stannyl+H,0.0
4BT+7TT+2Methyl,0.017269724343638704
4BT+6TT+Stannyl+Methyl,0.001012724145680276
5BT+3TT+2Methyl,0.007339756196196633
5BT+2TT+Stannyl+Methyl,2.3597526297050094e-05
4BT+5TT+2Stannyl,0.0
5BT+1TT+2Stannyl,0.001891945381505272
4BT+7TT+H+Phenyl,0.002517225784335875
4BT+7TT+Br+H,0.0
5BT+3TT+H+Phenyl,-0.0
5BT+3TT+Br+H,0.00048316238140285497
4BT+7TT+Methyl+Phenyl,0.004687605254988075
4BT+7TT+Br+Methyl,0.0
4BT+6TT+Stannyl+Phenyl,0.0
5BT+3TT+Methyl+Phenyl,0.002034525392410801
4BT+6TT+Stannyl+Br,0.0
5BT+3TT+Br+Methyl,-0.0
5BT+2TT+Stannyl+Phenyl,0.0
5BT+2TT+Stannyl+Br,-0.0
4BT+8TT+2H,-0.0
5BT+4TT+2H,0.014902884986427173
4BT+8TT+H+Methyl,-0.0
4BT+7TT+2Phenyl,-0.0
4BT+7TT+Br+Phenyl,0.0
4BT+7TT+2Br,-0.0
4BT+7TT+Stannyl+H,0.0
5BT+4TT+H+Methyl,0.03228557768342556
5BT+3TT+2Phenyl,-0.0
5BT+3TT+Br+Phenyl,0.0
5BT+3TT+2Br,0.0
5BT+3TT+Stannyl+H,0.0
4BT+8TT+2Methyl,0.010421529750888064
4BT+7TT+Stannyl+Methyl,0.0005942685835075986
5BT+4TT+2Methyl,0.01883042614154067
5BT+3TT+Stannyl+Methyl,0.0003511838364312387
4BT+6TT+2Stannyl,0.002978265930372518
