,P3 7p
4BT+5TT+Methyl+Phenyl,0.010352369989557447
4BT+5TT+Br+Methyl,0.0
4BT+4TT+Stannyl+Phenyl,0.0
4BT+4TT+Stannyl+Br,-0.0
4BT+6TT+2H,0.009503979512851748
4BT+6TT+H+Methyl,0.03460360503667404
4BT+5TT+2Phenyl,0.0
4BT+5TT+Br+Phenyl,0.0
4BT+5TT+2Br,0.0
4BT+5TT+Stannyl+H,0.0
4BT+6TT+2Methyl,0.02911028532931383
4BT+5TT+Stannyl+Methyl,0.0008169211526290757
4BT+4TT+2Stannyl,0.0014304624883467356
4BT+6TT+H+Phenyl,0.004963896311384403
4BT+6TT+Br+H,0.0
4BT+6TT+Methyl+Phenyl,0.008354275607281702
4BT+6TT+Br+Methyl,-0.0
4BT+5TT+Stannyl+Phenyl,0.0
4BT+5TT+Stannyl+Br,0.0
5BT+3TT+2H,-0.0
4BT+6TT+2Phenyl,0.0
4BT+6TT+Br+Phenyl,0.0
4BT+6TT+2Br,0.0
4BT+6TT+Stannyl+H,0.026526543495968818
5BT+3TT+H+Methyl,-0.0
4BT+6TT+Stannyl+Methyl,0.0004666614742445264
5BT+3TT+2Methyl,0.009913458830647095
4BT+5TT+2Stannyl,0.0026472393404176724
5BT+3TT+H+Phenyl,0.0015402447578897257
5BT+3TT+Br+H,0.0002307980919506283
4BT+6TT+Stannyl+Phenyl,-0.0
5BT+3TT+Methyl+Phenyl,0.002387669389890675
4BT+6TT+Stannyl+Br,0.0
5BT+3TT+Br+Methyl,0.0
5BT+4TT+2H,0.01735451520431624
5BT+4TT+H+Methyl,0.03622511144186537
5BT+3TT+2Phenyl,0.0
5BT+3TT+Br+Phenyl,0.0
5BT+3TT+2Br,0.0
5BT+3TT+Stannyl+H,0.0013465806069032696
5BT+4TT+2Methyl,0.021374429401215915
5BT+3TT+Stannyl+Methyl,0.00013040246365631395
4BT+6TT+2Stannyl,0.004902062425765952
5BT+4TT+H+Phenyl,0.004700831045966915
5BT+4TT+Br+H,0.0
5BT+4TT+Methyl+Phenyl,0.004940482360791259
5BT+4TT+Br+Methyl,0.0
5BT+3TT+Stannyl+Phenyl,0.0
5BT+3TT+Stannyl+Br,-0.0
5BT+5TT+2H,0.018466709415757118
5BT+5TT+H+Methyl,0.04458000743696664
5BT+4TT+2Phenyl,0.0
5BT+4TT+Br+Phenyl,0.0
5BT+4TT+2Br,0.0007172373733902787
5BT+4TT+Stannyl+H,0.0
5BT+5TT+2Methyl,0.03020780452977867
5BT+4TT+Stannyl+Methyl,0.0008768274820168926
5BT+3TT+2Stannyl,0.0035460579982238495
5BT+5TT+H+Phenyl,0.006051962096947568
5BT+5TT+Br+H,0.0
5BT+5TT+Methyl+Phenyl,0.007234749471773456
5BT+5TT+Br+Methyl,0.0
5BT+4TT+Stannyl+Phenyl,0.0
5BT+4TT+Stannyl+Br,0.0
5BT+6TT+2H,0.01638146750484935
5BT+6TT+H+Methyl,0.040288038556400174
5BT+5TT+2Phenyl,0.0
5BT+5TT+Br+Phenyl,0.005613060134143708
5BT+5TT+2Br,-0.0
5BT+5TT+Stannyl+H,0.0
5BT+6TT+2Methyl,0.03124988450087179
5BT+5TT+Stannyl+Methyl,0.000964171213326847
5BT+4TT+2Stannyl,0.0029861532310072715
5BT+6TT+H+Phenyl,0.005564789716861032
5BT+6TT+Br+H,0.0
5BT+6TT+Methyl+Phenyl,0.007527786807849683
5BT+6TT+Br+Methyl,0.0
5BT+5TT+Stannyl+Phenyl,0.0
5BT+5TT+Stannyl+Br,0.0
5BT+7TT+2H,0.009276562096228798
5BT+7TT+H+Methyl,0.03116727496461513
5BT+6TT+2Phenyl,0.0
5BT+6TT+Br+Phenyl,0.0
5BT+6TT+2Br,0.0
5BT+6TT+Stannyl+H,0.0
5BT+7TT+2Methyl,0.02461901086201883
5BT+6TT+Stannyl+Methyl,0.0011535706896492108
5BT+5TT+2Stannyl,0.002644127444270686
5BT+7TT+H+Phenyl,0.004021969443158162
5BT+7TT+Br+H,0.0
5BT+7TT+Methyl+Phenyl,0.006310829230278907
5BT+7TT+Br+Methyl,0.0
5BT+6TT+Stannyl+Phenyl,0.0
5BT+6TT+Stannyl+Br,-0.0
6BT+4TT+2H,-0.0
5BT+7TT+2Phenyl,-0.0
5BT+7TT+Br+Phenyl,0.0
5BT+7TT+2Br,0.0
5BT+7TT+Stannyl+H,0.014964875488582914
6BT+4TT+H+Methyl,-0.0
5BT+7TT+Stannyl+Methyl,0.0006887257023689204
6BT+4TT+2Methyl,0.00797636481225427
5BT+6TT+2Stannyl,0.002154245617467119
6BT+4TT+H+Phenyl,0.0007517843317239498
6BT+4TT+Br+H,0.0003184548525369134
5BT+7TT+Stannyl+Phenyl,-0.0
6BT+4TT+Methyl+Phenyl,0.0017148193709260145
5BT+7TT+Stannyl+Br,0.0
6BT+4TT+Br+Methyl,0.0
6BT+5TT+2H,0.010722346601349795
6BT+5TT+H+Methyl,0.024791082675650774
6BT+4TT+2Phenyl,0.0
6BT+4TT+Br+Phenyl,0.0
6BT+4TT+2Br,0.0
6BT+4TT+Stannyl+H,0.004205936621793981
6BT+5TT+2Methyl,0.012547200705944481
6BT+4TT+Stannyl+Methyl,0.0
5BT+7TT+2Stannyl,0.0036446903733493587
6BT+5TT+H+Phenyl,0.0029893672495237803
6BT+5TT+Br+H,0.0
6BT+5TT+Methyl+Phenyl,0.003159894310035503
6BT+5TT+Br+Methyl,0.0
6BT+4TT+Stannyl+Phenyl,0.0
6BT+4TT+Stannyl+Br,0.0
6BT+6TT+2H,0.013134863590633185
6BT+6TT+H+Methyl,0.03016903739502368
6BT+5TT+2Phenyl,0.0
6BT+5TT+Br+Phenyl,0.0
6BT+5TT+2Br,0.0
6BT+5TT+Stannyl+H,4.6562165332616114e-05
6BT+6TT+2Methyl,0.020105194905659086
6BT+5TT+Stannyl+Methyl,0.0007756796002686101
6BT+4TT+2Stannyl,0.0025800363190189263
6BT+6TT+H+Phenyl,0.003637785987794814
6BT+6TT+Br+H,0.0
6BT+6TT+Methyl+Phenyl,0.004471757503449616
6BT+6TT+Br+Methyl,0.0
6BT+5TT+Stannyl+Phenyl,0.0
6BT+5TT+Stannyl+Br,0.0
6BT+7TT+2H,0.011699592151430117
6BT+7TT+H+Methyl,0.02941248266541921
6BT+6TT+2Phenyl,0.0
6BT+6TT+Br+Phenyl,0.0024952771856641995
6BT+6TT+2Br,0.0
6BT+6TT+Stannyl+H,0.0
6BT+7TT+2Methyl,0.021624103293878486
6BT+6TT+Stannyl+Methyl,0.0006873700731781409
6BT+5TT+2Stannyl,0.003286279289447631
6BT+7TT+H+Phenyl,0.0033250474036393865
6BT+7TT+Br+H,0.0
6BT+7TT+Methyl+Phenyl,0.004678844384209247
6BT+7TT+Br+Methyl,0.0
6BT+6TT+Stannyl+Phenyl,0.0
6BT+6TT+Stannyl+Br,0.0
6BT+8TT+2H,0.00582483851629434
6BT+8TT+H+Methyl,0.022771061321563413
6BT+7TT+2Phenyl,0.0
6BT+7TT+Br+Phenyl,0.0
6BT+7TT+2Br,0.0
6BT+7TT+Stannyl+H,0.0
6BT+8TT+2Methyl,0.0169568567844645
6BT+7TT+Stannyl+Methyl,0.000839776842241208
6BT+6TT+2Stannyl,0.0018569283001900194
