,P3
4BT+5TT+Methyl+Phenyl,0.008804017942311683
4BT+5TT+Br+Methyl,0.0
4BT+4TT+Stannyl+Phenyl,0.0
4BT+4TT+Stannyl+Br,-0.0
4BT+6TT+2H,0.010883254518285954
4BT+6TT+H+Methyl,0.03408605270556768
4BT+5TT+2Phenyl,0.0
4BT+5TT+Br+Phenyl,0.0
4BT+5TT+2Br,0.0
4BT+5TT+Stannyl+H,0.0
4BT+6TT+2Methyl,0.026018767105255122
4BT+5TT+Stannyl+Methyl,0.0008419944628131998
4BT+4TT+2Stannyl,0.0013191364955106276
4BT+6TT+H+Phenyl,0.005796258785610232
4BT+6TT+Br+H,0.0
4BT+6TT+Methyl+Phenyl,0.008839117371406711
4BT+6TT+Br+Methyl,0.00011564714809531749
4BT+5TT+Stannyl+Phenyl,0.0
4BT+5TT+Stannyl+Br,0.0
5BT+3TT+2H,-0.0
4BT+6TT+2Phenyl,0.022131914773497848
4BT+6TT+Br+Phenyl,0.0
4BT+6TT+2Br,0.0
4BT+6TT+Stannyl+H,0.026657782999488875
5BT+3TT+H+Methyl,-0.0
4BT+6TT+Stannyl+Methyl,0.0008947925863726578
5BT+3TT+2Methyl,0.008120124921900411
4BT+5TT+2Stannyl,0.0014075713031077805
5BT+3TT+H+Phenyl,0.0014938877936501544
5BT+3TT+Br+H,0.0005234028333413797
4BT+6TT+Stannyl+Phenyl,0.0
5BT+3TT+Methyl+Phenyl,0.0025223916460209287
4BT+6TT+Stannyl+Br,-0.0
5BT+3TT+Br+Methyl,0.0
5BT+4TT+2H,0.01378668696922473
5BT+4TT+H+Methyl,0.026973674652860494
5BT+3TT+2Phenyl,0.0
5BT+3TT+Br+Phenyl,0.0
5BT+3TT+2Br,-0.0
5BT+3TT+Stannyl+H,0.008439594673517034
5BT+4TT+2Methyl,0.013082575199484347
5BT+3TT+Stannyl+Methyl,0.00046552735148551667
4BT+6TT+2Stannyl,0.003858000828362357
5BT+4TT+H+Phenyl,0.003406583444110669
5BT+4TT+Br+H,0.0
5BT+4TT+Methyl+Phenyl,0.003979514297656348
5BT+4TT+Br+Methyl,0.0
5BT+3TT+Stannyl+Phenyl,0.0
5BT+3TT+Stannyl+Br,0.0
5BT+5TT+2H,0.017138936417630916
5BT+5TT+H+Methyl,0.03649147395633737
5BT+4TT+2Phenyl,0.0
5BT+4TT+Br+Phenyl,0.0
5BT+4TT+2Br,0.0007401418743880994
5BT+4TT+Stannyl+H,0.0015094894273671644
5BT+5TT+2Methyl,0.021791948181568516
5BT+4TT+Stannyl+Methyl,0.0006571939987706372
