# Example spectrum for deconvolution.
# A mixture of ethanol, acetic acid and propane in proportions 0.3, 0.5, 0.2.
# Spectrum generated by IsoSpec, distorted to simulate measurement imprecisions.
# m/z	relative intensity
43.99	0.001433
44.0	0.003016
44.01	0.005686
44.02	0.009603
44.03	0.014527
44.04	0.019684
44.05	0.023893
44.06	0.025978
44.07	0.025301
44.08	0.022072
44.09	0.017249
44.1	0.012074
44.11	0.007571
44.12	0.004252
44.13	0.002139
45.0	7.9e-05
45.01	0.000154
45.02	0.00027
45.03	0.000423
45.04	0.000595
45.05	0.00075
45.06	0.000846
45.07	0.000855
45.08	0.000774
45.09	0.000627
45.1	0.000456
45.11	0.000296
45.12	0.000173
45.13	9e-05
45.14	4.2e-05
45.97	0.0023
45.98	0.004802
45.99	0.00898
46.0	0.015043
46.01	0.022574
46.02	0.030342
46.03	0.036532
46.04	0.0394
46.05	0.038063
46.06	0.032939
46.07	0.025533
46.08	0.017729
46.09	0.011026
46.1	0.006143
46.11	0.003066
46.98	8.2e-05
46.99	0.000159
47.0	0.000277
47.01	0.000431
47.02	0.000602
47.03	0.000752
47.04	0.000841
47.05	0.000843
47.06	0.000757
47.07	0.000609
47.08	0.000439
47.09	0.000283
47.1	0.000164
47.11	8.5e-05
47.12	3.9e-05
59.95	0.004034
59.96	0.008355
59.97	0.015499
59.98	0.025755
59.99	0.038335
60.0	0.051112
60.01	0.061043
60.02	0.065304
60.03	0.06258
60.04	0.053718
60.05	0.041304
60.06	0.028448
60.07	0.017551
60.08	0.009699
60.09	0.004801
60.95	6.8e-05
60.96	0.000146
60.97	0.000281
60.98	0.000484
60.99	0.000748
61.0	0.001035
61.01	0.001282
61.02	0.001423
61.03	0.001415
61.04	0.00126
61.05	0.001006
61.06	0.000719
61.07	0.00046
61.08	0.000264
61.09	0.000135
